soup,is_soup
"Italian Wedding (df)",TRUE
"Chicken, Bacon, Local Corn Chowder (gf)",TRUE
"Seafood Chowder (p)",TRUE
"Local Corn Maque Choux",TRUE
"Thai-Style Chicken (gf, df)",TRUE
"Tomato Basil Bisque (v)",TRUE
"Chicken Curry with Basmati Rice (gf, df)",TRUE
"Pork Chile Verde (gf, df)",TRUE
"Great Grandma Hoffman’s Beef Ribley (df)",TRUE
"Great-Grandma Hoffman’s Beef Ribley (df)",TRUE
"SunKing's Smoked Gouda",TRUE
"Chicken Noodle (df)",TRUE
"Local Corn, Black Bean, and Chorizo (gf, df)",TRUE
"Beef Veggie Barley (df)",TRUE
"Local Corn, Black Bean and Chorizo (gf, df)",TRUE
"Jambalaya(gf, df)",TRUE
"Chicken, Bacon, Local Corn Chowder",TRUE
"Turkey Chili (gf, df)",TRUE
"Turkey Noodle (df)",TRUE
"Greek Lemon Chicken Rice (gf)",TRUE
"Shrimp and Local Corn Chowder (p)",TRUE
"Jose’s Pork Pozole (gf, df)",TRUE
"Chicken Velvet",TRUE
"Lobster Bisque  (p, gf)",TRUE
"Senegalese Peanut Chicken (gf, df)",TRUE
"CLOSED ",FALSE
"Happy Labor Day!",FALSE
"Chicken Tortilla (df)",TRUE
"Stuffed Green Pepper (gf, df)",TRUE
"Local Corn, Black Bean  andChorizo (gf, df)",TRUE
"Thai-Style Chicken with Basmati Rice (gf, df)",TRUE
"Brazilian Chicken Stew (gf, df)",TRUE
"Pasta e Fagioli with Sausage (df)",TRUE
"Butternut Squash with Prosciutto (gf)",TRUE
"Caldo Verde (gf, df)Butternut Squash with Prosciutto (gf)",TRUE
"Happy 2nd Anniversary, Subito!",FALSE
"Clam Chowder (p)",TRUE
"Fall Veggie and Quinoa (vg, gf)",TRUE
"Italian Sausage with Butternut Squash (gf)",TRUE
"Loaded Potato (v)",TRUE
"Shrimp and Sausage Gumbo",TRUE
"Tuscan White Bean and Sausage (gf, df)",TRUE
"Great-Gma Hoffman's Beef Ribley (df)",TRUE
"Jose's Pork Pozole (gf, df)",TRUE
"Lobster Bisque (p, gf)",TRUE
"Buffalo Chicken",TRUE
"Roasted Red Pepper and Sweet Potato (df, gf)",TRUE
"Italian Sausage and Butternut Squash (gf)",TRUE
"Happy Thanksgiving!",FALSE
"Yukgaejang (spicy beef and veggie)",TRUE
"Fall Veggie Quinoa (vg, gf)",TRUE
"Cheddar Bacon Potato",TRUE
"Butternut Squash with Italian Sausage (gf)",TRUE
"Sun King's Smoked Gouda",TRUE
"Shredded Chicken Tortilla (gf, df)",TRUE
"HAPPY NEW YEAR!",FALSE
"Broccoli Cheddar (v)",TRUE
"Czechoslovakian Stew",TRUE
"Hunter's Beef Stew with Wild Rice",TRUE
Title,FALSE
"Tuesday, 1/30",FALSE
"Not Soup (reason)",FALSE
